domain,Service
cloud-sec-av.com,Avanan
outlook.com,Microsoft 365
mimecast.com,Mimecast
inkyphishfence.com,Inky
inky.com,Inky
intacct.com,Sage Intacct
mailgun.net,Mailgun
hubspotemail.net,HubSpot
sendgrid.net,SendGrid
proofpoint.com,Proofpoint
forcepoint.net,Forcepoint
barracudanetworks.com,Barracuda
sophos.com,Sophos
trendmicro.com,Trend Micro
symantec.com,Symantec
mailchimp.com,Mailchimp
postmarkapp.com,Postmark
sparkpostmail.com,SparkPost
mailjet.com,Mailjet
constantcontact.com,Constant Contact
zoho.com,Zoho
gappssmtp.com,Google Workspace
smtp2go.com,SMTP2GO
elasticemail.com,Elastic Email
sendinblue.com,Sendinblue
aweber.com,AWeber
campaignmonitor.com,Campaign Monitor
activecampaign.com,ActiveCampaign
paddock.net,Paddock